L_space_fillings,name,finite_fillings,longitude,non_L_space_fillings,id
"[(0, -1), (1, 0)]",s853,"[(0, -1), (1, 0)]","(62, 13)","[(-3, -1)]",1110
[],s854,[],"(5, -3)","[(-2, 1), (-5, 1), (-4, -1), (-6, 1), (-3, 1), (-3, -2), (1, -2), (3, -2), (-3, -1), (-6, -1), (-4, 1), (-5, -1), (-1, -2), (0, -1), (-5, 2), (1, -1), (-5, -2)]",1111
"[(-5, -1), (-4, -1), (-2, -1), (-3, -4), (-3, -1), (-1, -4), (-1, -3), (-2, -3), (-5, -2), (-1, -2), (-4, -3), (-3, -2)]",s855,[],"(3, -8)","[(-2, 1), (-3, 1), (-2, 3), (-1, 2), (-4, 1), (1, -3), (-3, 2)]",1112
"[(0, -1), (1, 0), (-1, -2)]",s856,"[(0, -1), (1, 0)]","(68, 41)",[],1113
"[(0, -1), (1, 0), (-1, -1), (-1, -2)]",s857,"[(0, -1), (1, 0), (-1, -1)]","(83, 66)",[],1114
"[(5, -2), (4, -3), (2, -3), (-3, -2), (-1, -2), (2, -1), (5, -1), (-2, -1), (-1, -3), (-3, -1), (3, -2), (-2, -3), (1, -4), (-1, -1), (1, -3), (3, -1), (1, -2), (4, -1), (0, -1)]",s858,"[(0, -1)]","(55, 6)","[(-4, -1)]",1115
"[(-1, 0)]",s860,"[(-1, 0)]","(1, -1)","[(-2, 1), (-5, 1), (-6, 1), (-3, -1), (-3, 1), (-6, -1), (-3, 2), (-5, -1), (-4, 1), (-5, 2), (-4, -1)]",1116
"[(-3, -4), (-1, -2), (2, -1), (2, -3), (3, -2), (1, -2), (-1, -4), (-2, -3), (3, -1), (1, -4), (1, -3), (4, -1), (-1, -3)]",s861,[],"(3, 1)","[(-3, -2), (-2, -1), (-4, -3), (4, 1)]",1117
"[(1, 0)]",s862,"[(1, 0)]","(7, 1)","[(5, -1), (5, -2), (-4, -1), (-3, -2), (-1, -2), (-2, -1), (3, -1), (6, -1), (-3, -1), (7, -1), (-6, -1), (3, -2), (-5, -1), (-1, -1), (1, -2), (4, -1)]",1118
"[(2, -3), (-4, -1), (-1, -4), (-3, -1), (1, -1), (-1, 0), (-3, -2), (-2, -3), (1, -4), (0, -1), (-4, -3), (1, -3), (1, -2), (-1, -3)]",s863,"[(-1, 0), (0, -1)]","(43, -8)","[(2, -1), (3, -1), (3, -2), (4, -1)]",1119
"[(-5, -2), (-4, -1), (-1, -3), (-3, -1), (-2, -3), (-5, -1), (-1, -2), (-4, -3), (-3, -2)]",s865,[],"(7, -12)","[(-2, 1), (-3, 1), (-2, 3), (-3, 2), (-1, 1), (-4, 1), (1, -3), (1, -2)]",1120
"[(1, -1), (1, -2), (-1, 0), (0, -1)]",s866,"[(1, -1), (-1, 0), (0, -1)]","(83, -71)",[],1121
"[(0, -1), (1, 0), (2, -1), (-2, -1)]",s867,"[(0, -1), (1, 0)]","(73, 8)",[],1122
"[(0, -1), (1, 0), (1, 1), (-1, -2)]",s868,"[(0, -1), (1, 0), (1, 1)]","(72, 79)",[],1123
"[(-1, 0)]",s869,"[(-1, 0)]","(1, -2)","[(-1, 1), (-4, -1), (-2, -1), (-2, 1), (-2, -3), (-1, -3), (-1, -2), (-3, -2), (-3, -1)]",1124
"[(-1, 0)]",s870,"[(-1, 0)]","(8, -1)","[(5, -1), (5, -2), (-3, -1), (-2, -1), (3, -2), (6, -1), (-3, -2), (7, -1), (-6, -1), (-5, -1), (-1, -2), (1, -2), (4, -1), (-4, -1)]",1125
"[(0, -1), (2, -3), (1, -1), (2, -1), (-3, -4), (3, -1), (-1, -4), (-2, -3), (3, -2), (1, -2), (1, -3), (1, 0), (4, -1), (-1, -3)]",s871,"[(0, -1), (1, 0)]","(28, 9)","[(-3, -2), (-3, -1), (-2, -1), (-4, -3), (4, 1)]",1126
"[(0, -1), (2, -1), (2, -3), (3, -2), (-1, -4), (-2, -3), (3, -1), (1, -4), (-1, -2), (1, -3), (1, 0), (1, -2), (4, -1), (-1, -3)]",s872,"[(0, -1), (1, 0)]","(38, 33)","[(3, 2), (3, 1), (4, 1)]",1127
"[(-4, -1), (-1, -4), (-3, -2), (-2, -3), (-1, -3), (-2, -1), (-3, -1), (-1, 0)]",s873,"[(-1, 0)]","(13, -14)","[(-4, 1), (2, -3), (-2, 1), (-3, 1), (-3, 2), (1, -4), (1, -3), (1, -2)]",1128
"[(0, -1), (2, -3), (-5, -1), (-4, -1), (-3, -1), (-1, -2), (-1, 0), (-2, -1), (1, -2), (-3, -2), (-2, -3), (1, -4), (-1, -1), (1, -3), (1, -1), (-1, -3)]",s874,"[(0, -1), (-1, 0)]","(11, -2)","[(2, -1), (3, -2), (3, -1), (4, -1)]",1129
"[(-1, 0)]",s875,"[(-1, 0)]","(17, -2)","[(-3, -1), (-4, -1)]",1130
"[(4, -3), (3, 2), (3, 1), (3, -2), (4, 1), (3, -1), (2, 1), (2, -1), (1, 0), (1, -1), (4, -1)]",s877,"[(1, 0), (1, -1)]","(3, 20)","[(1, 2), (1, 3), (1, -4), (1, -2), (2, -3), (3, -4), (2, 3), (1, -3)]",1131
"[(2, -1), (3, -1), (1, 0), (4, -1)]",s878,"[(1, 0)]","(1, 1)","[(3, 1), (-1, -2), (2, 1)]",1132
"[(1, 0)]",s879,"[(1, 0)]","(0, 1)","[(3, 1), (3, -1), (2, -1), (1, -1), (2, 1)]",1133
"[(0, -1), (-4, -1), (-1, -4), (-3, -2), (-2, -1), (-2, 1), (-3, 1), (-1, -3), (-4, 1), (-2, -3), (1, -4), (-1, -2), (1, -3), (1, -2), (-3, -1), (-1, 0)]",s881,"[(0, -1), (-1, 0)]","(1, -1)","[(2, -3), (-4, 3), (-3, 2), (3, -4)]",1134
[],s882,[],"(0, 1)","[(5, -1), (1, 2), (2, -3), (1, 3), (1, -2), (3, 1), (3, 2), (3, -1), (3, -2), (2, 3), (2, 1), (2, -1), (5, 1), (1, -3), (4, 1), (4, -1)]",1135
"[(-3, -4), (-4, -1), (-3, -2), (0, -1), (2, -3), (-1, -4), (-1, -3), (-2, -3), (1, -4), (-2, -1), (-4, -3), (1, -3), (1, -2), (-3, -1), (-1, 0)]",s884,"[(0, -1), (-1, 0)]","(5, -3)","[(-3, 1), (-2, 1), (3, -2), (-4, 1)]",1136
"[(3, -2), (2, -1), (1, -2), (3, -1), (1, -4), (1, -3), (1, 0), (0, -1), (1, -1), (4, -1), (2, -3)]",s885,"[(1, 0), (0, -1)]","(19, 14)","[(3, 2), (-4, -3), (3, 1), (-1, -2), (-1, -3), (-1, -4), (2, 1), (-1, -1), (4, 1), (-2, -3)]",1137
"[(-4, -1), (-1, -1), (-3, -4), (-3, -1), (-1, -4), (-2, -3), (-1, -3), (-2, -1), (-4, -3), (0, -1), (-3, -2), (-1, 0)]",s886,"[(-1, -1), (0, -1), (-1, 0)]","(11, -21)","[(1, -3), (-2, 1), (-3, 1), (-2, 3), (-3, 2), (1, -2)]",1138
"[(-3, -4), (-4, -1), (-1, -4), (-3, -2), (-1, -3), (-2, -3), (-1, -2), (-4, -3), (-3, -1), (-1, 0)]",s888,"[(-1, 0)]","(10, -17)","[(1, -3), (-2, 3), (-2, 1), (-3, 1), (-4, 1), (-3, 2), (1, -2)]",1139
"[(3, -2), (2, -3), (-4, -1), (-1, -4), (-3, -2), (1, -2), (2, -1), (-1, 0), (-1, -2), (-3, -1), (-2, -3), (-1, -3), (1, -4), (-2, -1), (1, -3), (1, -1), (0, -1)]",s889,"[(-1, 0), (0, -1)]","(11, -1)","[(3, -1), (4, -1)]",1140
"[(1, 0)]",s890,"[(1, 0)]","(12, 5)","[(5, -1), (3, -1), (2, -3), (3, 1), (1, -3), (-3, -2), (1, -2), (2, -1), (5, 2), (-1, -2), (3, -2), (-1, -3), (-2, -3), (1, -1), (-2, -1), (5, 1), (4, 1), (4, -1)]",1141
"[(-1, 0), (-3, -1), (-2, -1), (-1, -1), (-1, -3), (-2, -3), (-1, -2), (0, -1), (-3, -2)]",s891,"[(-1, 0), (0, -1)]","(1, -1)","[(1, -3), (-2, 1), (-3, 1), (1, -2)]",1142
"[(1, 0)]",s892,"[(1, 0)]","(0, 1)","[(2, -1), (2, 1)]",1143
"[(0, -1), (2, -3), (2, -1), (-1, -1), (3, -2), (-1, -4), (-2, -3), (3, -1), (1, -4), (-1, -2), (1, -3), (1, 0), (1, -2), (4, -1), (-1, -3)]",s893,"[(0, -1), (1, 0)]","(2, 1)","[(-3, -2), (4, 1), (3, 1)]",1144
"[(1, -3), (-3, -4), (-4, -1), (-3, -2), (-1, -2), (2, -3), (-1, -4), (-1, -3), (-2, -3), (-1, -1), (-4, -3), (0, -1), (1, -2), (-3, -1)]",s894,"[(-1, -1), (0, -1)]","(41, -24)","[(-2, 1), (-3, 1), (3, -2)]",1145
"[(-4, -1), (-1, -4), (-2, -1), (-3, -4), (-3, -2), (-1, -3), (-2, -3), (-1, -2), (0, -1), (-3, -1), (-1, 0)]",s896,"[(0, -1), (-1, 0)]","(3, -13)","[(-2, 3), (-1, 1), (-1, 3), (-1, 2), (-1, 4), (-2, 1), (-3, 2)]",1146
"[(1, 0)]",s897,"[(1, 0)]","(1, 9)","[(4, -3), (2, -3), (1, -2), (3, 1), (1, 2), (3, 2), (5, -2), (3, -2), (2, 3), (2, 1), (2, -1), (1, -3), (3, -1), (4, -1)]",1147
"[(0, -1), (-3, -1), (-1, -2), (-1, -3), (-1, -1), (-3, -2), (-4, -1)]",s899,[],"(1, -1)","[(-3, 1)]",1148
"[(1, 0)]",s900,"[(1, 0)]","(1, 1)","[(5, -2), (5, -1), (3, 2), (2, -1), (4, 1), (3, 1), (2, -3), (3, -2), (4, -1), (-1, -3), (-2, -3), (4, -3), (-1, -2), (5, 1), (1, -3), (1, -2), (3, -1), (2, 1)]",1149
"[(2, -3), (-4, -1), (-1, -4), (-3, -1), (-1, -2), (-1, -3), (-2, -3), (-2, -1), (1, -3), (1, -2), (-3, -2)]",s901,[],"(17, -6)","[(3, -2), (2, -1), (-3, 1), (-4, 1)]",1150
"[(5, -2), (5, -1), (2, -3), (-4, -1), (-3, -2), (-1, -1), (2, -1), (1, -4), (-2, -1), (-1, -3), (-3, -1), (3, -2), (3, -1), (4, -3), (-1, -2), (1, -3), (4, -1), (-1, 0)]",s902,"[(-1, 0)]","(67, -3)",[],1151
"[(2, -3), (2, -1), (-1, -4), (-1, -3), (3, -2), (1, -4), (-1, -2), (1, -3), (-2, -3)]",s903,[],"(1, 0)","[(-4, -1), (-3, -1), (-2, -1), (3, -1), (-4, -3), (-3, -2), (4, -1)]",1152
"[(-3, -4), (-4, -1), (-3, 1), (-2, 1), (-3, -1), (-1, -4), (-2, -3), (-4, 1), (-1, -3), (-2, -1), (-4, -3), (-3, 2), (-3, -2), (-1, 0)]",s904,"[(-1, 0)]","(24, -43)","[(1, -3), (-2, 3), (1, -4), (1, -2)]",1153
"[(5, -1), (3, -1), (1, -3), (1, -2), (2, -1), (3, -2), (1, -1), (4, -1)]",s905,[],"(6, 5)","[(3, 2), (3, 1), (5, 2), (4, 1), (-1, -3), (4, 3), (-1, -2), (5, 1), (-2, -3)]",1154
"[(5, -2), (5, -1), (2, -3), (1, -2), (2, -1), (4, -3), (3, -2), (1, -4), (1, -3), (1, 0), (3, -1), (4, -1), (0, -1)]",s907,"[(1, 0), (0, -1)]","(23, 14)","[(3, 1), (-3, -2), (-1, -2), (-2, -3), (2, 1), (-1, -3), (-1, -1), (4, 1)]",1155
"[(2, -3), (-1, -2), (2, -1), (-1, -1), (3, -1), (-1, -4), (-2, -3), (3, -2), (1, -2), (1, -3), (1, 0), (4, -1), (-1, -3)]",s908,"[(-1, -1), (1, 0)]","(18, 1)","[(-4, -1), (-3, -2), (-2, -1), (-4, -3), (-3, -1)]",1156
"[(4, -3), (5, -2), (2, -3), (-4, -1), (-3, -2), (-1, -1), (2, -1), (5, -1), (-2, -1), (3, -1), (-3, -1), (-2, -3), (3, -2), (-1, -3), (1, -4), (-1, -2), (1, -3), (1, 0), (4, -1), (0, -1)]",s909,"[(1, 0), (0, -1)]","(68, 3)",[],1157
"[(-5, 1), (-1, 0), (-3, -2), (-2, -1), (-3, 1), (-4, 1), (-5, 2), (-3, -1), (-4, -1)]",s911,"[(-1, 0)]","(1, -2)","[(-2, 3), (-4, 3), (-2, -3), (-1, -3), (-1, -2), (1, -3), (-5, 3), (-3, 2)]",1158
"[(1, 0)]",s912,"[(1, 0)]","(0, 1)","[(5, -1), (3, 1), (1, -1), (2, -1), (1, 1), (2, 1), (3, -1), (5, 1), (4, 1), (4, -1)]",1159
"[(1, 0)]",s915,"[(1, 0)]","(1, 5)","[(5, -1), (1, 2), (3, 2), (1, 3), (1, -2), (3, 1), (2, -3), (3, -2), (3, -1), (2, 3), (2, 1), (2, -1), (1, -3), (5, 1), (4, 1), (4, -1)]",1160
[],s916,[],"(7, -3)","[(2, -3), (-5, 1), (-4, -1), (-6, 1), (-3, -2), (-1, -2), (2, -1), (-2, -1), (3, -2), (-3, 1), (-4, 1), (-1, -3), (-5, -1), (-1, -1), (1, -3), (-5, 2), (1, -2), (-3, -1)]",1161
"[(3, -2), (2, -3), (2, -1), (3, -1), (1, -4), (1, -3), (1, 0), (4, -1)]",s917,"[(1, 0)]","(17, 10)","[(3, 1), (-3, -2), (-1, -4), (-1, -3), (-2, -3), (4, 1), (2, 1)]",1162
[],s918,[],"(3, 4)","[(5, -1), (3, -1), (3, 2), (1, -3), (3, 1), (2, -3), (2, 1), (1, 1), (-2, -3), (3, -2), (-1, -3), (-1, -2), (5, 1), (4, 1), (4, -1)]",1163
"[(3, -1), (1, -3), (2, -1), (3, -2), (1, -1), (1, -2), (4, -1)]",s919,[],"(9, 7)","[(3, 2), (4, 3), (4, 1), (5, 2), (-1, -3), (-2, -3), (-1, -2), (5, 1)]",1164
"[(-1, 0)]",s921,"[(-1, 0)]","(3, -11)","[(-2, 1), (-1, -2), (-3, -2), (-2, -3), (-2, -1)]",1165
"[(4, -3), (0, -1), (2, -3), (-4, -1), (-3, -2), (-2, -1), (-1, 0), (-3, -1), (-2, -3), (3, -4), (3, -2), (1, -4), (-1, -2), (1, -3), (1, -2), (-1, -3)]",s922,"[(0, -1), (-1, 0)]","(62, -9)","[(3, -1), (4, -1)]",1166
"[(1, 0)]",s923,"[(1, 0)]","(1, 1)","[(5, -1), (3, -2), (2, -3), (3, 1), (5, 2), (6, 1), (2, -1), (3, 2), (2, 1), (-2, -3), (3, -1), (1, -2), (1, -3), (5, 1), (4, 1), (4, -1), (-1, -3)]",1167
"[(1, 0)]",s924,"[(1, 0)]","(3, 1)","[(5, -2), (5, -1), (2, -3), (1, -3), (-3, -2), (-1, -2), (2, -1), (-2, -1), (-1, -3), (6, -1), (3, -1), (3, -2), (1, -2), (-1, -1), (5, 1), (4, 1), (4, -1)]",1168
"[(-4, -1), (-1, -4), (-3, -1), (-2, -1), (-3, -4), (-2, -3), (-1, -3), (2, -3), (-4, -3), (1, -3), (1, -2), (-3, -2), (-1, 0)]",s925,"[(-1, 0)]","(47, -27)","[(-2, 1), (3, -2), (-3, 1), (-4, 1)]",1169
"[(4, -3), (5, -2), (2, -3), (-1, -2), (3, -1), (-2, -3), (3, -2), (3, -4), (-1, -3), (1, -4), (1, -3), (1, 0), (1, -2), (4, -1), (0, -1)]",s926,"[(1, 0), (0, -1)]","(58, 3)","[(-3, -2), (-3, -1), (-2, -1)]",1170
"[(2, -3), (-4, -1), (-3, -1), (-1, -2), (-2, -3), (-1, -3), (-2, -1), (1, -3), (1, -2), (-3, -2), (-1, 0)]",s927,"[(-1, 0)]","(10, -7)","[(4, -3), (-5, 1), (-3, 1), (-4, 1), (-5, 2), (-3, 2)]",1171
"[(1, 0)]",s928,"[(1, 0)]","(2, 3)","[(3, -1), (2, -3), (3, 1), (4, 1), (2, -1), (3, 2), (-1, -3), (1, -2), (2, 1), (3, -2), (1, -1), (-1, -2), (1, -3), (5, 2), (1, 1)]",1172
"[(-5, -1), (-4, -1), (-3, 1), (-1, 0), (-2, 1), (-4, 1), (-5, -2), (-4, -3), (-3, 2), (-3, -2), (-3, -1), (-5, -3)]",s929,"[(-1, 0)]","(1, -37)","[(-3, -4), (-2, 3), (-1, 2), (-2, -3), (-1, 3), (-1, -3), (-1, -2)]",1173
"[(3, -2), (2, -1), (2, -3), (3, -1), (-1, -4), (-2, -3), (-1, -3), (-1, -2), (1, -3), (1, 0), (1, -2), (4, -1), (0, -1)]",s931,"[(1, 0), (0, -1)]","(28, 19)","[(3, 2), (-4, -3), (4, 1), (3, 1), (5, 2), (5, 1)]",1174
"[(-4, -1), (-3, 1), (-3, -1), (-2, 1), (-1, -2), (-1, -3), (-1, -4), (-4, 1), (-2, -3), (-2, -1), (-3, -2), (-1, 0)]",s932,"[(-1, 0)]","(3, -4)","[(-1, 1), (2, -3), (1, -4), (1, -3), (1, -2), (-3, 2)]",1175
"[(5, -2), (4, -3), (3, 2), (4, 1), (3, 1), (3, -1), (5, -3), (2, 1), (3, -2), (2, -1), (1, 0), (1, -1), (4, -1)]",s933,"[(1, 0), (1, -1)]","(1, 4)","[(1, 3), (1, -4), (1, -2), (1, 2), (2, -3), (3, -4), (2, 3), (1, -3)]",1176
"[(4, -3), (0, -1), (2, -3), (2, -1), (3, -1), (-1, -4), (-1, -3), (3, -4), (3, -2), (1, -4), (-1, -2), (1, -3), (1, 0), (4, -1), (-2, -3)]",s934,"[(0, -1), (1, 0)]","(11, 6)","[(2, 1), (-3, -2), (3, 1), (4, 1)]",1177
"[(2, -3), (-4, -1), (-3, -1), (1, -2), (-1, 0), (-3, -4), (-1, -4), (-1, -3), (-1, -1), (-4, -3), (1, -3), (-3, -2), (-2, -3)]",s935,"[(-1, 0), (-1, -1)]","(61, -12)","[(3, -2), (3, -1), (4, -1)]",1178
"[(4, -3), (0, -1), (2, -3), (3, -2), (-2, -3), (3, -4), (3, -1), (1, -4), (-1, -2), (1, -3), (1, 0), (4, -1), (-1, -3)]",s936,"[(0, -1), (1, 0)]","(31, 6)","[(-4, -1), (-3, -2), (-2, -1), (-3, -1)]",1179
[],s938,[],"(1, 0)","[(5, -2), (5, -1), (2, -3), (-4, -1), (-3, -2), (1, -2), (2, -1), (-1, -1), (3, -1), (6, -1), (-3, -1), (-6, -1), (3, -2), (-5, -1), (-1, -2), (1, -3), (1, -1), (4, -1), (-2, -1)]",1180
[],s939,[],"(1, 0)","[(-2, -1), (2, -1), (-1, -1), (-3, -1), (1, -1)]",1181
"[(-1, 0)]",s942,"[(-1, 0)]","(2, -1)","[(1, -1), (-1, -2), (-2, -1), (-1, -3), (-3, 1), (-1, -1), (1, -3), (1, -2)]",1182
"[(-1, 0)]",s943,"[(-1, 0)]","(2, -1)","[(2, -3), (-5, 1), (-3, -1), (3, -2), (-3, 1), (-4, 1), (-5, -1), (1, -3), (-3, -2), (-5, -2), (-4, -1)]",1183
"[(-1, 0)]",s944,"[(-1, 0)]","(17, -3)","[(5, -2), (4, -3), (2, -3), (-4, -1), (-3, -2), (-1, -1), (2, -1), (5, -1), (-1, -2), (3, -2), (-3, -1), (3, -1), (-2, -1), (1, -3), (0, -1), (1, -2), (4, -1)]",1184
"[(-3, -4), (-5, -2), (-4, -1), (-3, -1), (-1, 0), (-1, -4), (-1, -3), (-5, -1), (-1, -1), (-4, -3), (1, -3), (1, -2), (-3, -2), (-2, -3)]",s946,"[(-1, 0), (-1, -1)]","(29, -9)","[(2, -1), (3, -2), (-4, 1), (3, -1)]",1185
"[(2, -3), (3, 1), (4, 1), (1, -2), (2, -1), (3, 2), (3, -2), (3, -1), (4, 3), (1, -3), (1, 0), (5, 2), (4, -1), (5, 3)]",s947,"[(1, 0)]","(31, 53)","[(-1, -4), (-1, -3), (2, 3), (-1, -2), (3, 4)]",1186
"[(0, -1), (-3, -2), (-1, -1), (-1, -2), (-1, -4), (-1, -3), (-2, -3), (-2, -1), (-3, -1)]",s949,"[(0, -1)]","(7, -4)","[(-3, 1), (1, -1), (-2, 1)]",1187
"[(4, -3), (0, -1), (2, -3), (2, -1), (3, -2), (-1, -3), (3, -4), (3, -1), (1, -4), (-1, -2), (1, -3), (1, 0), (4, -1), (-2, -3)]",s950,"[(0, -1), (1, 0)]","(13, 3)","[(-4, -1), (-3, -2), (-2, -1), (-3, -1)]",1188
"[(3, -2), (2, -3), (2, -1), (1, -2), (3, -1), (-1, -4), (-2, -3), (-1, -3), (1, -1), (-1, -2), (1, -3), (1, 0), (4, -1), (0, -1)]",s951,"[(1, 0), (0, -1)]","(32, 11)","[(5, 1), (-3, -2), (3, 1), (-4, -3), (4, 1)]",1189
"[(2, -3), (-4, -1), (-3, -1), (-2, -1), (-2, -3), (-1, -3), (-1, -2), (1, -3), (1, -2), (-3, -2), (-1, 0)]",s952,"[(-1, 0)]","(14, -5)","[(4, -3), (-5, 1), (3, -2), (-3, 1), (-4, 1)]",1190
"[(-1, 1), (-1, 0), (-3, 1), (-2, -1), (-1, -3), (-3, -2), (-4, 3), (-3, 2), (-2, -3), (-1, -2), (-4, 1), (-5, 2), (-3, -1), (-5, 3)]",s953,"[(-1, 1), (-1, 0)]","(17, -64)","[(-1, 3), (-2, 3), (-3, 4), (-1, 2), (1, -4)]",1191
"[(3, -1), (2, -3), (1, -3), (-1, -1), (2, -1), (3, -2), (1, -2), (-1, -4), (-2, -3), (-1, -3), (1, -4), (-1, -2), (0, -1), (4, -1)]",s954,"[(-1, -1), (0, -1)]","(14, 3)","[(-4, -1), (-3, -2), (-2, -1), (-3, -1)]",1192
"[(0, -1), (-1, 1), (-2, -1), (-2, -3), (-3, 1), (-1, -3), (-4, 1), (-4, 3), (-1, -2), (-3, -1), (-5, 3), (-3, 2)]",s955,"[(0, -1), (-1, 1)]","(1, -2)","[(-2, 3), (1, -4), (1, -3), (-3, 4)]",1193
"[(2, -3), (-3, -2), (1, -2), (-2, -1), (-1, -4), (-2, -3), (1, -4), (-1, -2), (1, -3), (-3, -1), (-1, -3)]",s956,[],"(1, 0)","[(-4, -1), (2, -1), (3, -2), (3, -1), (4, -1)]",1194
"[(-2, 1), (-3, -1), (-1, -1), (-2, -1), (-1, 1), (-2, -3), (-3, 1), (-1, -3), (-4, 1), (-4, 3), (-1, -2), (0, -1), (-5, 3), (-3, 2)]",s957,"[(-1, 1), (0, -1)]","(1, -2)",[],1195
"[(-5, -2), (-2, -1), (-3, -1)]",s958,[],"(1, -4)","[(-2, 1), (-1, 1)]",1196
"[(0, -1), (2, -3), (1, -1), (3, -4), (1, -4), (1, -3), (1, -2)]",s960,"[(0, -1), (1, -1)]","(1, 0)","[(-1, -2), (2, -1), (-1, -1), (3, -2)]",1197
[],s961,[],"(0, 1)","[(2, -1), (2, 1)]",1198
"[(1, 0)]",v0000,"[(1, 0)]","(2, 1)","[(3, 1)]",1199
"[(1, -1), (-1, 0)]",v0001,"[(1, -1), (-1, 0)]","(2, -1)","[(3, -2)]",1200
"[(0, -1), (-1, 0)]",v0002,"[(0, -1), (-1, 0)]","(31, -17)",[],1201
"[(0, -1), (1, 0)]",v0003,"[(0, -1), (1, 0)]","(1, 1)",[],1202
"[(-1, 0)]",v0004,"[(-1, 0)]","(2, -1)",[],1203
"[(1, 0), (-1, -1)]",v0005,"[(1, 0), (-1, -1)]","(2, 1)",[],1204
"[(-1, 0), (-2, -1)]",v0006,"[(-1, 0), (-2, -1)]","(2, -1)",[],1205
"[(1, 0), (2, -1)]",v0007,"[(1, 0), (2, -1)]","(2, 1)",[],1206
"[(0, -1), (1, -1), (-1, 0)]",v0008,"[(0, -1), (1, -1), (-1, 0)]","(46, -3)",[],1207
"[(-1, 0), (-1, -1)]",v0009,"[(-1, 0), (-1, -1)]","(2, -1)",[],1208
"[(1, 0)]",v0010,"[(1, 0)]","(2, 1)",[],1209
"[(0, -1), (1, 0), (-1, -1)]",v0011,"[(0, -1), (1, 0), (-1, -1)]","(9, 2)",[],1210
"[(1, 0), (1, -1)]",v0012,"[(1, 0), (1, -1)]","(2, 1)",[],1211
"[(-1, 0)]",v0013,"[(-1, 0)]","(2, -1)",[],1212
"[(1, 0)]",v0014,"[(1, 0)]","(2, 1)",[],1213
"[(1, -1), (-1, 0)]",v0015,"[(1, -1), (-1, 0)]","(2, -1)",[],1214
"[(1, 0)]",v0016,"[(1, 0)]","(2, 1)",[],1215
"[(0, -1), (-1, 0)]",v0017,"[(0, -1), (-1, 0)]","(2, -1)",[],1216
"[(-1, 0)]",v0018,"[(-1, 0)]","(2, -1)",[],1217
"[(1, 0), (-1, -1)]",v0019,"[(1, 0), (-1, -1)]","(2, 1)",[],1218
"[(1, 0), (-1, -1)]",v0020,"[(1, 0), (-1, -1)]","(2, 1)",[],1219
"[(-1, 0)]",v0021,"[(-1, 0)]","(2, -1)",[],1220
"[(0, -1), (1, 0)]",v0022,"[(0, -1), (1, 0)]","(2, 1)",[],1221
"[(0, -1), (-1, 0)]",v0023,"[(0, -1), (-1, 0)]","(38, -41)",[],1222
"[(0, -1), (1, 0)]",v0024,"[(0, -1), (1, 0)]","(2, 1)",[],1223
"[(-1, 0)]",v0025,"[(-1, 0)]","(2, -1)",[],1224
"[(1, -1), (-1, 0)]",v0026,"[(1, -1), (-1, 0)]","(2, -1)",[],1225
"[(1, 0)]",v0027,"[(1, 0)]","(2, 1)",[],1226
"[(0, -1), (1, 0)]",v0028,"[(0, -1), (1, 0)]","(59, 13)",[],1227
"[(0, -1), (1, 0)]",v0029,"[(0, -1), (1, 0)]","(53, 29)",[],1228
"[(1, 0)]",v0030,"[(1, 0)]","(2, 1)",[],1229
"[(-1, 0)]",v0031,"[(-1, 0)]","(2, -1)",[],1230
"[(0, -1), (-1, 0), (-1, -1)]",v0032,"[(0, -1), (-1, 0), (-1, -1)]","(62, -9)",[],1231
"[(0, -1), (1, -1), (-1, 0)]",v0033,"[(0, -1), (1, -1), (-1, 0)]","(57, -26)",[],1232
"[(1, 0)]",v0034,"[(1, 0)]","(2, 1)",[],1233
"[(-1, 0)]",v0035,"[(-1, 0)]","(2, -1)",[],1234
"[(1, 0)]",v0036,"[(1, 0)]","(2, 1)",[],1235
"[(-1, 0)]",v0037,"[(-1, 0)]","(2, -1)",[],1236
"[(-1, 0)]",v0038,"[(-1, 0)]","(2, -1)",[],1237
"[(1, 0)]",v0039,"[(1, 0)]","(2, 1)",[],1238
"[(0, -1), (1, 0)]",v0040,"[(0, -1), (1, 0)]","(61, 27)",[],1239
"[(0, -1), (-1, 0)]",v0041,"[(0, -1), (-1, 0)]","(43, -51)",[],1240
"[(0, -1), (1, 0)]",v0042,"[(0, -1), (1, 0)]","(64, 23)",[],1241
"[(0, -1), (-1, 0)]",v0043,"[(0, -1), (-1, 0)]","(8, -11)",[],1242
"[(1, 0), (1, -1)]",v0044,"[(1, 0), (1, -1)]","(2, 1)",[],1243
"[(-1, 0)]",v0045,"[(-1, 0)]","(2, -1)",[],1244
"[(1, -1), (-1, 0)]",v0046,"[(1, -1), (-1, 0)]","(2, -1)",[],1245
"[(1, 0)]",v0047,"[(1, 0)]","(2, 1)",[],1246
"[(0, -1), (1, 0), (-1, -1)]",v0048,"[(0, -1), (1, 0), (-1, -1)]","(71, 3)",[],1247
"[(0, -1), (1, -1), (-1, 0)]",v0049,"[(0, -1), (1, -1), (-1, 0)]","(69, -17)",[],1248
"[(0, -1), (-1, 0)]",v0050,"[(0, -1), (-1, 0)]","(13, -6)",[],1249
"[(1, 0)]",v0051,"[(1, 0)]","(2, 1)",[],1250
"[(-1, 0)]",v0052,"[(-1, 0)]","(2, -1)",[],1251
"[(0, -1), (1, 0)]",v0053,"[(0, -1), (1, 0)]","(47, 54)",[],1252
"[(1, -1), (-1, 0)]",v0054,"[(1, -1), (-1, 0)]","(2, -1)",[],1253
